"review_date","review_month","review_year","review_score","review_count","comments_count","avg_score"
"2018-08-31","8","2018",1,"30","21","1.00"
"2018-08-31","8","2018",2,"8","5","2.00"
"2018-08-31","8","2018",3,"37","11","3.00"
"2018-08-31","8","2018",4,"66","19","4.00"
"2018-08-31","8","2018",5,"234","74","5.00"
"2018-08-30","8","2018",1,"29","20","1.00"
"2018-08-30","8","2018",2,"5","4","2.00"
"2018-08-30","8","2018",3,"26","10","3.00"
"2018-08-30","8","2018",4,"71","21","4.00"
"2018-08-30","8","2018",5,"244","84","5.00"
"2018-08-29","8","2018",1,"30","26","1.00"
"2018-08-29","8","2018",2,"8","7","2.00"
"2018-08-29","8","2018",3,"26","11","3.00"
"2018-08-29","8","2018",4,"79","22","4.00"
"2018-08-29","8","2018",5,"243","89","5.00"
"2018-08-28","8","2018",1,"25","22","1.00"
"2018-08-28","8","2018",2,"7","1","2.00"
"2018-08-28","8","2018",3,"32","17","3.00"
"2018-08-28","8","2018",4,"86","37","4.00"
"2018-08-28","8","2018",5,"301","96","5.00"
"2018-08-27","8","2018",1,"1","1","1.00"
"2018-08-27","8","2018",4,"3","2","4.00"
"2018-08-27","8","2018",5,"3","2","5.00"
"2018-08-26","8","2018",1,"18","17","1.00"
"2018-08-26","8","2018",2,"8","7","2.00"
"2018-08-26","8","2018",3,"16","9","3.00"
"2018-08-26","8","2018",4,"10","3","4.00"
"2018-08-26","8","2018",5,"60","13","5.00"
"2018-08-25","8","2018",1,"33","24","1.00"
"2018-08-25","8","2018",2,"9","4","2.00"
"2018-08-25","8","2018",3,"25","13","3.00"
"2018-08-25","8","2018",4,"90","20","4.00"
"2018-08-25","8","2018",5,"225","84","5.00"
"2018-08-24","8","2018",1,"37","28","1.00"
"2018-08-24","8","2018",2,"14","11","2.00"
"2018-08-24","8","2018",3,"25","8","3.00"
"2018-08-24","8","2018",4,"72","20","4.00"
"2018-08-24","8","2018",5,"232","83","5.00"
"2018-08-23","8","2018",1,"38","30","1.00"
"2018-08-23","8","2018",2,"9","7","2.00"
"2018-08-23","8","2018",3,"16","9","3.00"
"2018-08-23","8","2018",4,"77","18","4.00"
"2018-08-23","8","2018",5,"204","60","5.00"
"2018-08-22","8","2018",1,"32","25","1.00"
"2018-08-22","8","2018",2,"14","9","2.00"
"2018-08-22","8","2018",3,"18","8","3.00"
"2018-08-22","8","2018",4,"79","15","4.00"
"2018-08-22","8","2018",5,"241","69","5.00"
"2018-08-21","8","2018",1,"25","17","1.00"
"2018-08-21","8","2018",2,"7","5","2.00"
"2018-08-21","8","2018",3,"33","11","3.00"
"2018-08-21","8","2018",4,"66","19","4.00"
"2018-08-21","8","2018",5,"260","99","5.00"
"2018-08-20","8","2018",4,"1","1","4.00"
"2018-08-19","8","2018",1,"27","17","1.00"
"2018-08-19","8","2018",2,"4","2","2.00"
"2018-08-19","8","2018",3,"9","3","3.00"
"2018-08-19","8","2018",4,"17","3","4.00"
"2018-08-19","8","2018",5,"50","16","5.00"
"2018-08-18","8","2018",1,"38","30","1.00"
"2018-08-18","8","2018",2,"8","7","2.00"
"2018-08-18","8","2018",3,"27","12","3.00"
"2018-08-18","8","2018",4,"69","20","4.00"
"2018-08-18","8","2018",5,"241","82","5.00"
"2018-08-17","8","2018",1,"29","19","1.00"
"2018-08-17","8","2018",2,"7","6","2.00"
"2018-08-17","8","2018",3,"28","17","3.00"
"2018-08-17","8","2018",4,"84","27","4.00"
"2018-08-17","8","2018",5,"223","77","5.00"
"2018-08-16","8","2018",1,"32","27","1.00"
