"seller_id","seller_city","seller_state","total_orders","total_items_sold","total_revenue","total_freight","total_gross_revenue","avg_item_price","avg_review_score","total_reviews","positive_review_pct"
"4869f7a5dfa277a7dca6462dcf3b52b2","guariba","SP","1132","5","229472.63","20168.07","249640.70","198.51","4.12","1124","79.27"
"53243585a1d6dc2643021fd1853d8905","lauro de freitas","BA","358","6","222776.05","13080.63","235856.68","543.36","4.08","356","90.17"
"4a3ca9315b744ce9f8e9374361493884","ibitinga","SP","1806","5","202999.12","35441.19","238440.31","101.04","3.80","1800","74.11"
"fa1c13f2614d7b5c4749cbc52fecda94","sumare","SP","585","2","194042.03","10042.70","204084.73","331.13","4.34","581","85.54"
"7c67e1448b00f6e969d365cea6b010ab","itaquaquecetuba","SP","982","11","189417.67","51957.15","241374.82","137.76","3.35","978","78.12"
"7e93a43ef30c4f03f38b393420bc753a","barueri","SP","336","2","176431.87","6322.18","182754.05","518.92","4.21","335","81.19"
"da8622b14eb17ae2831f4ac5b9dab84a","piracicaba","SP","1314","6","162723.37","25339.14","188062.51","103.38","4.07","1309","91.60"
"7a67c85e85bb2ce8582c35f2203ad736","sao paulo","SP","1160","4","142325.49","20953.29","163278.78","121.13","4.23","1155","81.39"
"1025f0e2d44d7041d6cf58b6550e0bfa","sao paulo","SP","915","11","140513.14","34197.68","174710.82","97.38","3.85","908","111.89"
"955fee9216a65b617aa5c0531780ce60","sao paulo","SP","1287","6","135241.70","25453.16","160694.86","90.10","4.05","1279","88.27"
"46dc3b2cc0980fb8ec44634e21d2718e","rio de janeiro","RJ","521","5","128111.19","11798.50","139909.69","236.37","4.18","515","83.69"
"6560211a19b47992c3666cc44a7e94c0","sao paulo","SP","1854","6","123585.82","28050.31","151636.13","60.61","3.91","1841","78.27"
"620c87c171fb2a6dd6e8bb4dec959fc6","petropolis","RJ","740","6","115283.90","14225.68","129509.58","143.39","4.22","733","86.22"
"7d13fca15225358621be4086e1eb0964","ribeirao preto","SP","565","5","113628.97","8632.05","122261.02","196.59","4.00","561","77.01"
"5dceca129747e92ff8ef7a997dc4f8ca","santa barbara d´oeste","SP","325","3","112155.53","13661.39","125816.92","324.15","3.99","320","79.69"
"1f50f920176fa81dab994f9023523100","sao jose do rio preto","SP","1404","14","107431.41","35325.62","142757.03","55.38","3.98","1404","102.21"
"cc419e0650a3c5ba77189a1882b7556a","santo andre","SP","1706","5","106555.98","26321.08","132877.06","58.58","4.07","1707","80.32"
"a1043bafd471dff536d0c462352beb48","ilicinea","MG","718","3","101901.16","31844.09","133745.25","132.34","4.19","715","87.13"
"3d871de0142ce09b7081e2b9d1733cb1","campo limpo paulista","SP","1080","5","94963.20","22446.30","117409.50","82.72","4.11","1068","82.68"
"edb1ef5e36e0c8cd84eb3c9b003e486d","teresopolis","RJ","166","6","79284.55","3905.10","83189.65","453.05","4.43","166","92.17"
"ccc4bbb5f32a6ab2b7066a4130f114e3","curitiba","PR","187","3","74004.62","5256.98","79261.60","385.44","4.28","186","85.48"
"f7ba60f8c3f99e7ee4042fdef03b70c4","sao bernardo do campo","SP","219","5","68780.00","4376.00","73156.00","296.47","4.21","221","85.97"
"8581055ce74af1daba164fdbd55a40de","guarulhos","SP","387","4","66120.05","9818.75","75938.80","149.26","4.23","386","93.01"
"fe2032dab1a61af8794248c8196565c9","campinas","SP","294","3","65959.61","4721.34","70680.95","215.55","4.38","290","89.31"
"cca3071e3e9bb7d12640c9fbe2301306","ibitinga","SP","712","6","65629.96","14662.51","80292.47","77.30","3.85","707","80.76"
"04308b1ee57b6625f47df1d56f00eedf","bombinhas","SC","94","1","60130.60","3054.39","63184.99","639.69","3.88","94","72.34"
